"SamAccountName","LastLogonDate","Enabled"
"mfalcao","30/03/2017 11:36:22","False"
"mfarias","07/01/2020 09:22:02","True"
"mevieira","07/01/2020 21:44:46","True"
"mesilva","31/12/2019 20:27:51","True"
"Message Processor",,"True"
"mfernandes","07/01/2020 07:35:35","True"
"mfmelo","21/05/2018 07:49:28","False"
"mfortunato","08/04/2019 07:05:22","False"
"MFisch","30/12/2019 07:07:36","True"
"mferreira","02/01/2020 07:07:11","True"
"mfirmino",,"True"
"mdlima","20/09/2019 09:12:12","False"
"mdsilva","30/12/2019 05:59:49","True"
"mdettoni","06/01/2020 07:53:29","True"
"mcsilva","11/07/2019 09:55:11","False"
"mcsoares","03/12/2018 09:41:34","False"
"mduarte","05/01/2020 05:10:33","True"
"merodrigues","03/07/2018 14:58:33","False"
"mersilva","06/01/2020 08:23:26","True"
"meramos","08/01/2020 11:34:59","True"
"mealvarenga","27/06/2018 09:27:38","False"
"mepaminondas","13/09/2018 08:50:37","False"
"mfpereira","06/01/2020 08:15:07","True"
"mgrochovski","06/01/2020 09:19:08","True"
"mgrodrigues",,"False"
"mgoncalves","05/11/2018 14:47:34","False"
"MGianini","06/06/2019 10:27:54","False"
"mgmelo",,"False"
"mgsouza","27/03/2014 08:12:02","False"
"mhsilva","05/01/2020 14:52:20","True"
"mialmeida","30/12/2019 14:30:51","True"
"mhonorato","26/12/2019 07:18:31","True"
"mguedes","30/12/2019 08:36:00","True"
"mguimaraes","08/06/2019 08:36:56","False"
"mfurtado","07/05/2018 08:30:13","False"
"mfvsilva","25/01/2018 10:03:45","False"
"mfsantos","06/01/2020 13:52:19","True"
"mfritz","02/01/2020 14:15:28","True"
"mfsales","02/01/2020 08:34:32","True"
"mgabrich","26/12/2019 10:20:01","True"
"mghedini","08/01/2020 13:20:28","True"
"mgheno","08/01/2020 14:28:04","True"
"mggrodrigues","30/12/2019 00:06:49","True"
"mgambardella","09/05/2019 10:48:17","False"
"mgfsantos","02/01/2020 08:07:18","True"
"mcsaraujo","02/01/2020 08:42:40","True"
"mberocha","02/01/2020 10:29:36","True"
"mbevilacqua","05/01/2020 14:00:14","True"
"mbbruno","04/10/2018 11:58:26","False"
"mbaptista","06/01/2020 13:47:49","True"
"mbarros","02/01/2020 11:43:42","True"
"mbmendes","03/06/2019 09:04:36","False"
"mbranco","02/01/2020 06:55:33","True"
"mbrandao","22/04/2019 08:54:58","False"
"mbraga","06/01/2020 22:02:14","True"
"MBomfim","30/12/2019 14:42:58","True"
"mborges","02/01/2020 09:39:21","True"
"MAUA_20ANDAR",,"True"
"maufernandes","07/01/2020 10:15:48","True"
"matheus.souza",,"True"
"matheus.oliveira",,"True"
"matheus.pereira",,"True"
"mausilva",,"False"
"mbalmeida","04/01/2020 07:43:32","True"
"MBandeira","09/07/2018 11:38:51","False"
"mazevedo","06/05/2019 14:10:22","False"
"mavargas","02/01/2020 08:18:58","True"
"mayasilva","08/10/2018 06:38:16","False"
"mbranquinho","06/01/2020 08:07:24","True"
"mcgrodrigues","06/06/2019 07:37:21","False"
"mchaves","11/11/2019 08:09:57","False"
"MCGomes","19/02/2018 11:17:23","False"
"mccgomes","30/05/2019 18:28:54","False"
"mccsilva","26/02/2018 08:51:51","False"
"mclima","06/03/2017 16:55:53","False"
"mcrisostomo","06/01/2020 07:18:34","True"
"mcrvieira","02/01/2020 08:02:47","True"
"mcribeiro","25/01/2018 10:01:48","False"
"mcosta","27/06/2019 08:00:13","False"
"mcramos","03/01/2020 19:45:18","True"
"mcaetano","06/01/2020 09:38:56","True"
"mcalbusch","03/01/2020 09:05:53","True"
"mbzucolotto","08/01/2020 08:17:56","True"
"mbrito","31/12/2019 11:08:41","True"
"mbritto","02/01/2020 09:26:39","True"
"MCapella","03/06/2019 08:45:46","False"
"mcarossi",,"False"
"mcarvalho","11/08/2019 18:02:35","False"
"mcarneiro","30/05/2019 08:16:32","False"
"mcarciano","29/09/2018 02:00:30","False"
"mcardoso","05/01/2020 21:07:27","True"
"mnunes","18/10/2018 08:28:43","False"
"mocarneiro","31/12/2019 10:13:48","True"
"mnorat","06/01/2020 07:34:02","True"
"mnogueira","28/06/2019 10:59:36","False"
"mnoliveira","31/12/2019 12:13:32","True"
"mofaria","23/04/2018 07:59:26","False"
"moliveira",,"True"
"monitor","09/09/2013 16:15:29","True"
"molimpio","21/11/2017 06:53:09","True"
"mofilho",,"False"
"moises.oliveira",,"True"
"mmnetto","02/01/2020 08:56:31","True"
"mmonteiro","06/05/2019 23:10:54","False"
"MMitraud","03/01/2020 06:24:33","True"
"mmgoncalves","11/03/2019 08:23:48","False"
"mmguimaraes","08/01/2020 08:56:02","True"
"mmoreira","17/03/2011 16:57:20","False"
"mnferreira","06/01/2020 10:09:56","True"
"mniazi","25/06/2019 17:31:08","False"
"mnetto","02/01/2020 09:06:27","True"
"mmoura","25/02/2019 08:01:47","False"
"mnascimento","06/01/2020 07:41:11","True"
"monitor_wiseit","12/09/2017 11:37:24","True"
"mpsouza","27/12/2019 10:29:18","True"
"mralves","12/09/2018 14:39:34","False"
"mprates","06/01/2020 18:31:33","True"
"mpoliveira","08/02/2018 08:17:26","False"
"mppsantos","10/05/2018 13:46:03","False"
"mramos","08/01/2020 08:35:32","True"
"mribeiro","04/12/2018 13:33:56","False"
"mrlima","02/01/2020 07:48:37","True"
